Title,Genre,Descriptions
Paranormal Activity: The Ghost Dimension,Horror,"The Ghost Dimension, follows a new family, The Fleeges - father Ryan (Chris J. Murray), mother Emily (Brit Shaw) and their young daughter Leila (Ivy George) - Who move into a house and discover a video camera and a box of tapes in the garage. When they look through the camera's lens, they begin to see the paranormal activity happening around them - including the re-emergence of young Kristi and Katie. - IMDb"
The Boss,Comedy,"A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget. - IMDb"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Action / Adventure / Comedy / Family / Sci-Fi,"The turtles find out where the Ooze, the substance which made them mutate, came from. Unfortunately Shredder learns about it too, and uses it to enhance himself. So the turtles have to prove again who's the better ninja fighter. - IMDb"
El Orfanato,Drama / Mystery / Thriller,"Academy-Award nominated filmmaker Guillermo Del Toro (director of Pan's Labyrinth) presents The Orphanage, a chilling ghost story about a woman who discovers dark and horrific secrets hidden within her cherished childhood home and her desperate attempt to rescue her family from the nightmare into which she unwittingly led them."
The Terminator,Action / Sci-Fi,"A cyborg is sent from the future on a deadly mission. He has to kill Sarah Connor, a young woman whose life will have a great significance in years to come. Sarah has only one protector - Kyle Reese - also sent from the future. The Terminator uses his exceptional intelligence and strength to find Sarah, but is there any way to stop the seemingly indestructible cyborg ? - IMDb"
The Family,Comedy / Crime / Thriller,"A mafia boss and his family are relocated to a sleepy town in France under the witness protection program after snitching on the mob. Despite the best efforts of CIA Agent Stansfield (Tommy Lee Jones) to keep them in line, Fred Manzoni (Robert De Niro), his wife Maggie (Michelle Pfeiffer) and their children Belle (Dianna Agron) and Warren (John D'Leo) can't help but revert to old habits and blow their cover by handling their problems the ""family"" way, enabling their former mafia cronies to track them down. Chaos ensues as old scores are settled in the unlikeliest of settings. - IMDb"
Collateral Damage,Action / Drama / Thriller,"Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio ""The Wolf"" Perrini. Frustrated with the official investigation and haunted by the thought that the man responsible for murdering his family might never be brought to justice, Brewer takes matters into his own hands and tracks his quarry ultimately to Colombia. - IMDb"
Scary Movie 5,Comedy,"Happily-married couple Dan and Jody begin to notice some bizarre activity once they bring their lost nieces and nephew home. But when the chaos expands into Jody's job as a ballet dancer and Dan's career as an Ape researcher, they realize their family is being stalked by a nefarious demon. Together, with the advice of a psychic and the aid of numerous surveillance cameras, they must figure out how to get rid of it before it's too late. - IMDb"
R.I.P.D.,Action / Adventure / Comedy / Crime / Fantasy / Sci-Fi,"In Boston, the dirty cop Nick hides gold that he has stolen from drug-dealers with his partner Hayes in the backyard of his house. However, on the next morning, Nick tells Hayes that he will deliver the evidence to the police since he loves his wife Julia and he could not face her acting that way. Nick and Hayes are assigned to a raid against a dangerous gang and unexpectedly Hayes kills Nick. Nick is drawn by a tunnel and based on his previous experience in the police department, he is assigned in the afterlife by the Proctor to join the Rest in Peace Department that protects the living world from the undead and work with the old-fashioned agent Roy. Roy and Nick accidentally find that Hayes in plotting a scheme to revert the sense of the tunnel to the afterlife and bring the Apocalypse to Earth. - IMDb"
Priest,Action / Fantasy / Horror / Sci-Fi / Thriller,"PRIEST, a post-apocalyptic sci-fi thriller, is set in an alternate world -- one ravaged by centuries of war between man and vampires. The story revolves around a legendary Warrior Priest from the last Vampire War who now lives in obscurity among the other downtrodden human inhabitants in walled-in dystopian cities ruled by the Church. When his niece is abducted by a murderous pack of vampires, Priest breaks his sacred vows to venture out on a quest to find her before they turn her into one of them. He is joined on his crusade by his niece's boyfriend, a trigger-fingered young wasteland sheriff, and a former Warrior Priestess who possesses otherworldly fighting skills. - IMDb"
If I Stay,Drama / Fantasy / Music / Romance,"Mia Hall thought the hardest decision she would ever face would be whether to pursue her musical dreams at Juilliard or follow a different path to be with the love of her life, Adam. But what should have been a carefree family drive changes everything in an instant, and now her own life hangs in the balance. Caught between life and death for one revealing day, Mia has only one decision left, which will not only decide her future but her ultimate fate. - IMDb"
Tag,Comedy,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country. - IMDb"
Honig im Kopf,Comedy / Drama / Family,"Its a story about a special love, the love between TILDA and her grandfather AMANDUS. Amandus has Alzheimers. He always was the bon vivant, the humorous and beloved head of the family now he starts acting like a child. Only the ten year old Tilda can deal with him and his disease she looks at it with the eyes of a child and a kind of humour and sensitivity that makes it easier to approach Amandus when he is lost in his new own world. This special connection approaches the disease in a humorous but emotional way, without forgetting about its tragedy. - IMDb"
Xiao shi dai 4: Ling hun jin tou,Drama / Romance,missed Send yours.
